|0 1 0|use a mouse trap|mouse in my house
|1 2 2|use a spring mouse trap|the mouse is killed in the process
|2 3 2|use a sticky pad mouse trap|mouse lives
|3 7 1||how to set it free
|7 8 5|rock|how to kill the mouse
|8 9 1||
|3 4 2|use poison|no control where the mouse dies
|4 5 5||pet could find poison
|5 6 5||child could find poison
|1 10 4|clean the house|difficult :(
|10 11 4|get a cat|this solves a temporary problem w permanent one
|11 12 1||only get a cat if ready for commitment
|1 13 3||problem is about valuing human life over mouse life
|13 14 1||mouse in a house is a probem
